START 1000
MERGE 909 166
MERGE 215 823
MERGE 65 147
MERGE 320 719
MERGE 723 363
MERGE 677 870
MERGE 392 724
MERGE 119 623
MERGE 624 543
MERGE 440 197
MERGE 963 401
MERGE 19 731
MERGE 889 113
MERGE 115 432
MERGE 396 407
MERGE 754 349
MERGE 242 831
MERGE 832 845
MERGE 210 423
MERGE 867 816
MERGE 561 236
MERGE 719 519
MERGE 869 259
MERGE 779 965
MERGE 141 960
MERGE 288 445
MERGE 706 7
MERGE 574 972
MERGE 508 714
MERGE 248 666
MERGE 379 269
MERGE 370 672
MERGE 668 158
MERGE 476 947
MERGE 961 66
MERGE 175 606
MERGE 198 142
MERGE 717 475
MERGE 575 519
MERGE 274 486
MERGE 751 661
MERGE 819 745
MERGE 34 169
MERGE 514 208
MERGE 489 787
MERGE 199 456
MERGE 964 393
MERGE 974 251
MERGE 224 757
MERGE 692 481
MERGE 17 172
MERGE 520 261
MERGE 502 332
MERGE 264 469
MERGE 928 498
MERGE 44 658
MERGE 975 534
MERGE 298 805
MERGE 562 894
MERGE 639 918
MERGE 334 622
MERGE 764 286
MERGE 583 416
MERGE 954 811
MERGE 47 720
MERGE 194 635
MERGE 980 597
MERGE 656 647
MERGE 861 528
MERGE 701 854
MERGE 657 399
MERGE 722 586
MERGE 341 20
MERGE 596 486
MERGE 532 565
MERGE 131 6
MERGE 864 795
MERGE 658 228
MERGE 471 56
MERGE 299 168
MERGE 250 922
MERGE 276 934
MERGE 182 545
MERGE 546 896
MERGE 682 269
MERGE 53 404
MERGE 347 314
MERGE 987 275
MERGE 113 799
MERGE 615 538
MERGE 56 765
MERGE 450 721
MERGE 794 637
MERGE 614 868
MERGE 620 143
MERGE 237 229
MERGE 313 910
MERGE 913 162
MERGE 698 356
MERGE 558 21
MERGE 710 629
MERGE 736 227
MERGE 749 25
MERGE 600 279
MERGE 132 178
MERGE 572 992
MERGE 340 439
MERGE 388 342
MERGE 437 879
MERGE 888 108
MERGE 74 953
MERGE 623 824
MERGE 266 992
MERGE 626 939
MERGE 498 681
MERGE 703 917
MERGE 782 739
MERGE 179 452
MERGE 712 741
MERGE 744 168
MERGE 990 275
MERGE 405 973
MERGE 386 924
MERGE 536 929
MERGE 260 416
MERGE 649 576
MERGE 993 345
MERGE 223 919
MERGE 120 958
MERGE 353 156
MERGE 967 151
MERGE 70 775
MERGE 916 793
MERGE 326 400
MERGE 571 452
MERGE 524 965
MERGE 528 348
MERGE 885 843
MERGE 211 680
MERGE 355 345
MERGE 275 997
MERGE 876 506
MERGE 610 54
MERGE 107 285
MERGE 587 447
MERGE 593 604
MERGE 470 630
MERGE 646 491
MERGE 695 870
MERGE 35 432
MERGE 393 460
MERGE 679 959
MERGE 329 845
MERGE 631 55
MERGE 446 666
MERGE 804 118
MERGE 67 444
MERGE 978 721
MERGE 346 644
MERGE 527 705
MERGE 497 718
MERGE 949 142
MERGE 728 383
MERGE 671 607
MERGE 278 466
MERGE 233 133
MERGE 680 654
MERGE 725 435
MERGE 820 255
MERGE 878 907
MERGE 996 760
MERGE 84 279
MERGE 101 181
MERGE 547 707
MERGE 306 181
MERGE 792 371
MERGE 873 729
MERGE 533 940
MERGE 979 767
MERGE 7 216
MERGE 155 21
MERGE 360 662
MERGE 404 200
MERGE 854 651
MERGE 314 106
MERGE 852 839
MERGE 43 539
MERGE 252 234
MERGE 172 139
MERGE 797 607
MERGE 363 857
MERGE 209 822
MERGE 78 39
MERGE 853 874
MERGE 569 868
MERGE 635 607
MERGE 492 504
MERGE 258 951
MERGE 912 687
MERGE 482 191
QUERY_ALL
